DDCTransactionId014F418744AA264C6CC232A1B40FEB4F_0, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_5216118D4EACC7D4064ADCBA89F77202_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000100000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.04.22-20.21.52, Duration=2.110295, RunGuid=RunID2EAF3AC24FADF0D3477C1AB878F39E99
DDCTransactionIdAC9F4C714B320CA8EFFA43937F774435_0, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_5216118D4EACC7D4064ADCBA89F7720__66F5A912C12ECCBFC7828C141D8C68C1A07C0A15, StartTime=2016.04.22-20.21.52, HierarchicalDDC=, DataSize=65797, Duration=0.036694, RunGuid=RunID2EAF3AC24FADF0D3477C1AB878F39E99
DDCTransactionId1CCA163C4495A20D4910CFB588C586C8_0, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_5216118D4EACC7D4064ADCBA89F7720__4776B6E2E6502A15BA73B7522CDBB3F8E50002AD, StartTime=2016.04.22-20.21.52, HierarchicalDDC=, DataSize=22665, Duration=0.018489, RunGuid=RunID2EAF3AC24FADF0D3477C1AB878F39E99
DDCTransactionId014F418744AA264C6CC232A1B40FEB4F_1, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_25CD52414339E18173E25F9FE28E6F74_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000100000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.04.22-20.21.52, Duration=5.176041, RunGuid=RunID2EAF3AC24FADF0D3477C1AB878F39E99
DDCTransactionId1CCA163C4495A20D4910CFB588C586C8_1, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_25CD52414339E18173E25F9FE28E6F7__67B45977DAEC48FA9C18EFBA3BE582AF431E813E, StartTime=2016.04.22-20.21.52, HierarchicalDDC=, DataSize=262405, Duration=0.116337, RunGuid=RunID2EAF3AC24FADF0D3477C1AB878F39E99
DDCTransactionIdAC9F4C714B320CA8EFFA43937F774435_1, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_25CD52414339E18173E25F9FE28E6F7__1380E9E5B67F360AFCB4C5A6C93158D79092F47B, StartTime=2016.04.22-20.21.52, HierarchicalDDC=, DataSize=65797, Duration=0.058312, RunGuid=RunID2EAF3AC24FADF0D3477C1AB878F39E99
DDCTransactionId1CCA163C4495A20D4910CFB588C586C8_2, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_25CD52414339E18173E25F9FE28E6F7__E382EECA4C24A5DC232BE9247DC197F6B8DC702B, StartTime=2016.04.22-20.21.52, HierarchicalDDC=, DataSize=22958, Duration=0.027306, RunGuid=RunID2EAF3AC24FADF0D3477C1AB878F39E99
DDCTransactionId014F418744AA264C6CC232A1B40FEB4F_2, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_FDD461EC4EDF5F99C659709B7A42E98A_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.04.22-20.21.52, Duration=144.488312, RunGuid=RunID2EAF3AC24FADF0D3477C1AB878F39E99
DDCTransactionIdAC9F4C714B320CA8EFFA43937F774435_2, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_FDD461EC4EDF5F99C659709B7A42E__A862D430A5BD3851806098886F46A0DB4C02712D, StartTime=2016.04.22-20.21.52, HierarchicalDDC=, DataSize=262407, Duration=0.065990, RunGuid=RunID2EAF3AC24FADF0D3477C1AB878F39E99
DDCTransactionId1C83CB0F45A3D6032011748500A7F576_0, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_FDD461EC4EDF5F99C659709B7A42E__5D8E67CBA0F04E790BD64833DFE9997DDB1D33F0, StartTime=2016.04.22-20.21.52, HierarchicalDDC=, DataSize=65799, Duration=0.048924, RunGuid=RunID2EAF3AC24FADF0D3477C1AB878F39E99
DDCTransactionIdAC9F4C714B320CA8EFFA43937F774435_3, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_FDD461EC4EDF5F99C659709B7A42E__D3B9066E064FF8485C582FA787D958A7AE111964, StartTime=2016.04.22-20.21.52, HierarchicalDDC=, DataSize=16647, Duration=0.022758, RunGuid=RunID2EAF3AC24FADF0D3477C1AB878F39E99
DDCTransactionId014F418744AA264C6CC232A1B40FEB4F_3, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_565E0359430950FA252A118AF8521636_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000000000000000100000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.04.22-20.21.52, Duration=4.425961, RunGuid=RunID2EAF3AC24FADF0D3477C1AB878F39E99
DDCTransactionId1C83CB0F45A3D6032011748500A7F576_1, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_FDD461EC4EDF5F99C659709B7A42E__FBBDD204E59CC3E3C9749161169905E65779DA9A, StartTime=2016.04.22-20.21.52, HierarchicalDDC=, DataSize=6899, Duration=0.024747, RunGuid=RunID2EAF3AC24FADF0D3477C1AB878F39E99
DDCTransactionId1CCA163C4495A20D4910CFB588C586C8_3, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_565E0359430950FA252A118AF8521636___018F4075D3397499A38D84DACDCE819C495D7211, StartTime=2016.04.22-20.21.52, HierarchicalDDC=, DataSize=65795, Duration=0.025034, RunGuid=RunID2EAF3AC24FADF0D3477C1AB878F39E99
DDCTransactionIdAC9F4C714B320CA8EFFA43937F774435_4, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_565E0359430950FA252A118AF8521636___1978717988CE205C32B2214CC1D518693DF7C4D6, StartTime=2016.04.22-20.21.52, HierarchicalDDC=, DataSize=16643, Duration=0.020765, RunGuid=RunID2EAF3AC24FADF0D3477C1AB878F39E99
DDCTransactionIdAC9F4C714B320CA8EFFA43937F774435_5, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_565E0359430950FA252A118AF8521636___AFD2E7B6C000DBB57C3C2251719C132A8B58702E, StartTime=2016.04.22-20.21.52, HierarchicalDDC=, DataSize=6591, Duration=0.012513, RunGuid=RunID2EAF3AC24FADF0D3477C1AB878F39E99
DDCTransactionId014F418744AA264C6CC232A1B40FEB4F_4, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_B21C1AFF42ACD5ADC8C382B3A090AF89_07_0000803F0000803F0000803F000000000000803F00000000000000000000803FCDCC4C3F000000000800000006000100000000000102000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.04.22-20.21.52, Duration=585.103638, RunGuid=RunID2EAF3AC24FADF0D3477C1AB878F39E99
DDCTransactionIdAC9F4C714B320CA8EFFA43937F774435_6, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_B21C1AFF42ACD5ADC8C382B3A090A__F781C0B0C2693BF17FB27AC24C523D4AD3350E86, StartTime=2016.04.22-20.21.53, HierarchicalDDC=, DataSize=524553, Duration=0.120033, RunGuid=RunID2EAF3AC24FADF0D3477C1AB878F39E99
DDCTransactionId1CCA163C4495A20D4910CFB588C586C8_4, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_B21C1AFF42ACD5ADC8C382B3A090A__EC69846C8DD084F28BBD11A348C2B577D88F8262, StartTime=2016.04.22-20.21.53, HierarchicalDDC=, DataSize=131335, Duration=0.041813, RunGuid=RunID2EAF3AC24FADF0D3477C1AB878F39E99
DDCTransactionId1CCA163C4495A20D4910CFB588C586C8_5, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_B21C1AFF42ACD5ADC8C382B3A090A__1423AB5FD021F7D2A063652CBFD2D5D24334CF57, StartTime=2016.04.22-20.21.53, HierarchicalDDC=, DataSize=33031, Duration=0.026170, RunGuid=RunID2EAF3AC24FADF0D3477C1AB878F39E99
DDCTransactionId1CCA163C4495A20D4910CFB588C586C8_6, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_B21C1AFF42ACD5ADC8C382B3A090A__1AC1C47CE01BB3791E07B3F37B4DEBBD29C103E3, StartTime=2016.04.22-20.21.53, HierarchicalDDC=, DataSize=8455, Duration=0.045225, RunGuid=RunID2EAF3AC24FADF0D3477C1AB878F39E99
DDCTransactionId1CCA163C4495A20D4910CFB588C586C8_7, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_B21C1AFF42ACD5ADC8C382B3A090A__DD3D508F2B287118D83B2811676DC879755E7F88, StartTime=2016.04.22-20.21.53, HierarchicalDDC=, DataSize=4452, Duration=0.023611, RunGuid=RunID2EAF3AC24FADF0D3477C1AB878F39E99
DDCTransactionId014F418744AA264C6CC232A1B40FEB4F_5, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_C45F0F7D439FAD52041B1EBC5A8A1471_07_0000803F0000803F0000803F000000000000803F00000000000000000000803FCDCC4C3F000000000800000006000100000000000102000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.04.22-20.21.53, Duration=0.261404, RunGuid=RunID2EAF3AC24FADF0D3477C1AB878F39E99
DDCTransactionIdAC9F4C714B320CA8EFFA43937F774435_7, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_C45F0F7D439FAD52041B1EBC5A8A1__9908241BD20DF14A6AE05F8E6CA9BBBE24B07AB6, StartTime=2016.04.22-20.21.53, HierarchicalDDC=, DataSize=1186, Duration=0.016499, RunGuid=RunID2EAF3AC24FADF0D3477C1AB878F39E99
DDCTransactionId014F418744AA264C6CC232A1B40FEB4F_6, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_15564967414184874DBCB89C44D5959C_07_0000803F0000803F0000803F000000000000803F00000000000000000000803FCDCC4C3F000000000800000006000100000000000102000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.04.22-20.21.53, Duration=13.579681, RunGuid=RunID2EAF3AC24FADF0D3477C1AB878F39E99
DDCTransactionIdAC9F4C714B320CA8EFFA43937F774435_8, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_15564967414184874DBCB89C44D5959C__02B54665C520D91F5F701748C4780F8A6005FD33, StartTime=2016.04.22-20.21.53, HierarchicalDDC=, DataSize=8452, Duration=0.020195, RunGuid=RunID2EAF3AC24FADF0D3477C1AB878F39E99
DDCTransactionId1C83CB0F45A3D6032011748500A7F576_2, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_15564967414184874DBCB89C44D5959C__BA34306FE8A99B5C640F036EF7E052585535A66C, StartTime=2016.04.22-20.21.53, HierarchicalDDC=, DataSize=3559, Duration=0.018775, RunGuid=RunID2EAF3AC24FADF0D3477C1AB878F39E99
DDCTransactionId014F418744AA264C6CC232A1B40FEB4F_7, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_AE3B82F44B23F0E95EE42F95B1FECF39_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000100000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.04.22-20.21.53, Duration=1.900945, RunGuid=RunID2EAF3AC24FADF0D3477C1AB878F39E99
DDCTransactionId1C83CB0F45A3D6032011748500A7F576_3, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_AE3B82F44B23F0E95EE42F95B1FECF3__7716384CA42A2482D772493A287E45E486704A3F, StartTime=2016.04.22-20.21.53, HierarchicalDDC=, DataSize=65797, Duration=0.026736, RunGuid=RunID2EAF3AC24FADF0D3477C1AB878F39E99
DDCTransactionIdAC9F4C714B320CA8EFFA43937F774435_9, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_AE3B82F44B23F0E95EE42F95B1FECF3__C4042932833ADBF653BE0F3E3601E57EBDF5D841, StartTime=2016.04.22-20.21.53, HierarchicalDDC=, DataSize=22665, Duration=0.029869, RunGuid=RunID2EAF3AC24FADF0D3477C1AB878F39E99
DDCTransactionId014F418744AA264C6CC232A1B40FEB4F_8, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_222D3F804EB4AB5DA9BDE2BAE545EEFD_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000100000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.04.22-20.21.53, Duration=1.600001, RunGuid=RunID2EAF3AC24FADF0D3477C1AB878F39E99
DDCTransactionIdAC9F4C714B320CA8EFFA43937F774435_10, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_222D3F804EB4AB5DA9BDE2BAE545EEF__752C88E79A6EEA422A7F7F21AFBC340AAA71BCC3, StartTime=2016.04.22-20.21.53, HierarchicalDDC=, DataSize=65797, Duration=0.029013, RunGuid=RunID2EAF3AC24FADF0D3477C1AB878F39E99
DDCTransactionId1C83CB0F45A3D6032011748500A7F576_4, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_222D3F804EB4AB5DA9BDE2BAE545EEF__18DD853840B0F872014C7A0CC5CED56A7A5D3CC6, StartTime=2016.04.22-20.21.53, HierarchicalDDC=, DataSize=22665, Duration=0.027023, RunGuid=RunID2EAF3AC24FADF0D3477C1AB878F39E99
DDCTransactionId014F418744AA264C6CC232A1B40FEB4F_9, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_B19E8D43472CA8B277E8CCA8993996A7_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000D000100000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.04.22-20.21.53, Duration=2.620876, RunGuid=RunID2EAF3AC24FADF0D3477C1AB878F39E99
